Marca temporal,Tipo de registro,Procedimiento o proceso en el que se le atendió,Servicios referidos (Detalle),"Detalles de la queja, sugerencia o felicitación",Departamento que lo atendió,Instancia,detalles_limpios,tokenizacion,lematizacion,stemming
8/25/2025 11:36:18,Felicitación,Solo dar una felicitación por haberle dado oportunidad a los que deben calculo para pasar la materia :),Actividad integradora ,Simplemente una felicitación ,Unidad de Tecnología Educativa y Campus Virtual,Unidad de Tecnología Educativa y Campus Virtual,simplemente felicitacion,"['simplemente', 'felicitacion']",simplemente felicitacion,simplement felicit
8/25/2025 11:36:24,Sugerencia,Gestión del Diseño Curricular de Programas Académicos,Actividad ,Buena opción la de juntar a las carreras pasa que se puede convivir con todos ,Unidad de Tecnología Educativa y Campus Virtual,Unidad de Tecnología Educativa y Campus Virtual,opcion juntar carreras pasa convivir,"['opcion', 'juntar', 'carreras', 'pasa', 'convivir']",opcion juntar carrera pasar convivir,opcion junt carrer pas conviv
8/25/2025 11:36:38,Sugerencia,Actividad,Clase,"Me gustó la actividad, pero no me gustó que los grupos de otras carreras estén combinados ",Unidad de Tecnología Educativa y Campus Virtual,Unidad de Tecnología Educativa y Campus Virtual,gusto actividad gusto grupos carreras esten combinados,"['gusto', 'actividad', 'gusto', 'grupos', 'carreras', 'esten', 'combinados']",gusto actividad gusto grupo carrera estir combinado,gust activ gust grup carrer esten combin
8/25/2025 11:36:47,Sugerencia,Actividad curricular ,Clase ,Muy buena actividad integradora me gustó la dinámica ,Unidad de Tecnología Educativa y Campus Virtual,Unidad de Tecnología Educativa y Campus Virtual,actividad integradora gusto dinamica,"['actividad', 'integradora', 'gusto', 'dinamica']",actividad integrador gusto dinamicar,activ integr gust dinam
8/25/2025 11:36:48,Felicitación,Actividad,Actividad integradora,Estuvo padre la actividad ,Unidad de Tecnología Educativa y Campus Virtual,Unidad de Tecnología Educativa y Campus Virtual,padre actividad,"['padre', 'actividad']",padre actividad,padr activ
8/25/2025 11:36:51,Felicitación,Planeación Didáctica,Acticidad de la profesora,"Felicidades por una actividad movida, me obligo a hablar con alguien",Subdirección de Servicios Educativos e Integración Social,Unidad de Tecnología Educativa y Campus Virtual,felicidades actividad movida obligo hablar alguien,"['felicidades', 'actividad', 'movida', 'obligo', 'hablar', 'alguien']",felicidad actividad movida obligo hablar alguien,felic activ mov oblig habl algui
8/25/2025 11:43:50,Felicitación,Clase,Felicitación ,Una felicitación a la profesora por incentivar el uso de las herramientas que proporciona la institución. ,Unidad de Tecnología Educativa y Campus Virtual,Unidad de Tecnología Educativa y Campus Virtual,felicitacion profesora incentivar herramientas proporciona institucion,"['felicitacion', 'profesora', 'incentivar', 'herramientas', 'proporciona', 'institucion']",felicitacion profesorar incentivar herramientas proporcionar institucion,felicit profesor incentiv herramient proporcion institucion
6/25/2025 13:35:47,Sugerencia,Gestión del Diseño de Programas de Estudio,Nada ,Nada ,Subdirección Académica,,,[],,
9/4/2025 10:24:20,Felicitación,UDI,Ninguno,Ninguna,Unidad de Tecnología Educativa y Campus Virtual,,,[],,
9/4/2025 13:24:33,Felicitación,Servicios Bibliotecarios,Préstamo de computadora,Excelente servicio ,Departamento de Innovación Educativa,,excelente servicio,"['excelente', 'servicio']",excelente servicio,excelent servici
9/4/2025 14:00:40,Queja,Laboratorio de uso libre,Acceso y salida de laboratorio de uso libre,"El acceso fue increíblemente tardado, su plataforma no registra. La salida fue aún peor: no había nadie (esencialmente tenían mi credencial sin manera de que la recuperara). Cuando volví, otra vez fue lentísimo el proceso y me obligaron a llenar esta encuesta que no debería ser obligatoria",Unidad de Informática,,acceso increiblemente tardado plataforma registra salida aun peor habia esencialmente tenian credencial recuperara volvi lentisimo proceso obligaron llenar encuesta deberia obligatoria,"['acceso', 'increiblemente', 'tardado', 'plataforma', 'registra', 'salida', 'aun', 'peor', 'habia', 'esencialmente', 'tenian', 'credencial', 'recuperara', 'volvi', 'lentisimo', 'proceso', 'obligaron', 'llenar', 'encuesta', 'deberia', 'obligatoria']",acceso increiblemente tardar plataforma registrar salida esencialmente teniar credencial recuperar volvi lentisimo proceso obligar llenar encuesta deberio obligatorio,acces increibl tard plataform registr sal aun peor habi esencial teni credencial recuper volvi lentisim proces oblig llen encuest deberi obligatori
9/4/2025 14:17:30,Felicitación,Préstamo de Equipo Informático,Préstamo de computadora ,Buena atención ,Unidad de Informática,,atencion,['atencion'],atencion,atencion
9/5/2025 8:46:13,Felicitación,Préstamo de Equipo Informático,Uso de estación de trabajo ,"Muy buen servicio, son comprometidos a cuidar el aula de uso libre y hay una muy buena administración por parte de los encargados ",Unidad de Informática,,servicio comprometidos cuidar aula libre administracion encargados,"['servicio', 'comprometidos', 'cuidar', 'aula', 'libre', 'administracion', 'encargados']",servicio comprometido cuidar aula libre administracion encargar,servici compromet cuid aul libr administr encarg
9/5/2025 12:14:35,Felicitación,Préstamo de Equipo Informático,Préstamo de una máquina ,"Solo que hacen falta algunas herramientas de programación, como compiladores apropiados",Unidad de Informática,,falta herramientas programacion compiladores apropiados,"['falta', 'herramientas', 'programacion', 'compiladores', 'apropiados']",falta herramienta programacion compilador apropiar,falt herramient program compil apropi
9/5/2025 16:11:25,Queja,Inscripción,Pólizas y Carta renuncia,"Al ingresar al SISMI para obtener mis pólizas y mi carta renuncia, al poner buscar, me aparece que no se encuentran resultados, llevo mas de 2 semanas asi ",Departamento de Recursos Materiales y Servicios,,ingresar sismi obtener polizas carta renuncia buscar aparece encuentran resultados llevo mas 2 semanas asi,"['ingresar', 'sismi', 'obtener', 'polizas', 'carta', 'renuncia', 'buscar', 'aparece', 'encuentran', 'resultados', 'llevo', 'mas', '2', 'semanas', 'asi']",ingresar sismi obtener poliza carta renunciar buscar aparecer encontrar resultado llevar 2 semana,ingres sismi obten poliz cart renunci busc aparec encuentr result llev mas 2 seman asi
9/8/2025 13:27:23,Felicitación,Tutorías,Ninguno,Ninguno ,Unidad de Informática,,,[],,
,,,,,,,nan,['nan'],nan,nan
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
